Experiment Name	Sample ID	Region	Protocol	Gene Panel	RIN	BICAN Experiment ID	MERFISH Experiment ID	Experiment Start Date	MERFISH Cells #	Median Transcripts per Cell	Median Gene per Cell	Mean tranx/FOV from Instrument	Counts/FOV adjusted to match M1	Instrument	BIL Path	Experiment Notes	Imaging Duration (hrs)	Analysis duration (hrs)	Tranfer to NAS duration (hrs)	Total Size of Exp (TB)	Data Location				for formatting (can ignore)
20250615M202BICANRen33	UCI.2424.CX09.A32	A32	v2	1000 D2M2006	6.6	REN033	M202	5/22/2025	21808	189	115	25,947	13,238	HoneydewUltra	/bil/lz/boonee/e7eba154eb8aa036						HoneydewUltra				42
20250615M202BICANRen33	UCI.5224.CX08.A32	A32	v2	1000 D2M2006	7.9	REN033	M202	5/22/2025	24670	291	159	60,528	30,882	HoneydewUltra	/bil/lz/boonee/e7eba154eb8aa036						HoneydewUltra				42
20250616M203BICANRen34	UWA.7648.CX13.A24	A24	v2	1000 D2M2006	7.1	REN034	M203	5/20/2025	33473	140	92	29,983	15,298	WatermelonUltra	/bil/lz/boonee/72f6bda7d812e6e8		37	31	39		WatermelonUltra				43
20250616M203BICANRen34	UCI.4723.CX07.A24	A24	v2	1000 D2M2006	6.1	REN034	M203	5/20/2025	30074	80	57	24,443	12,471	WatermelonUltra	/bil/lz/boonee/72f6bda7d812e6e8		37	31	39		WatermelonUltra				43
20250616M203BICANRen34	UCI.2424.CX12.A24	A24	v2	1000 D2M2006	6.2	REN034	M203	5/20/2025	8558	128	86	22,166	11,309	WatermelonUltra	/bil/lz/boonee/72f6bda7d812e6e8		37	31	39		WatermelonUltra				43
20250616M203BICANRen34	UCI.5224.CX08.A24	A24	v2	1000 D2M2006	7.9	REN034	M203	5/20/2025	17922	91	66	32,009	16,331	WatermelonUltra	/bil/lz/boonee/72f6bda7d812e6e8		37	31	39		WatermelonUltra				43
20250619M204BICANRen35	UWA.7648.CX17.CaH	CaH	v2	1000 D2P2238	7.8	REN035	M204	6/10/2025	61,209	248	129	63,438	32,366	HoneydewUltra	/bil/lz/boonee/6dc297e03f3f8590						HoneydewUltra				44
20250619M204BICANRen35	UCI.4723.CX12.CaH	CaH	v2	1000 D2P2238	7.2	REN035	M204	6/10/2025	47,336	184	106	62,136	31,702	HoneydewUltra	/bil/lz/boonee/6dc297e03f3f8590						HoneydewUltra				44
20250619M204BICANRen35	UCI.2424.CX12.CaH	CaH	v2	1000 D2P2238	8.0	REN035	M204	6/10/2025	38,574	179	102	38,833	19,813	HoneydewUltra	/bil/lz/boonee/6dc297e03f3f8590						HoneydewUltra				44
20250619M204BICANRen35	UCI.5224.CX13.CaH	CaH	v2	1000 D2P2238	7.8	REN035	M204	6/10/2025	45,028	388	176	92,612	47,251	HoneydewUltra	/bil/lz/boonee/6dc297e03f3f8590						HoneydewUltra				44
20250619M205BICANRen36	UWA.7648.CX17.Pu	Pu	v2	1000 D2P2238	7.5	REN036	M205	6/9/2025	47,511	50	36	18,316	9,345	WatermelonUltra	/bil/lz/boonee/e121fccd0a3eade1						WatermelonUltra				45
20250619M205BICANRen36	UCI.4723.CX14.Pu	Pu	v2	1000 D2P2238	5.9	REN036	M205	6/9/2025	54,062	70	48	24,850	12,679	WatermelonUltra	/bil/lz/boonee/e121fccd0a3eade1						WatermelonUltra				45
20250619M205BICANRen36	UCI.2424.CX12.Pu	Pu	v2	1000 D2P2238	6.6	REN036	M205	6/9/2025	30,697	109	67	25,635	13,079	WatermelonUltra	/bil/lz/boonee/e121fccd0a3eade1						WatermelonUltra				45
20250619M205BICANRen36	UCI.5224.CX13.Pu	Pu	v2	1000 D2P2238	7.0	REN036	M205	6/9/2025	40,294	176	99	45,964	23,451	WatermelonUltra	/bil/lz/boonee/e121fccd0a3eade1						WatermelonUltra				45
20250622M206BICANRen37	UWA.7648.CX20.GP	GP	v2	1000 D2P2238	7.5	REN037	M206	6/11/2025	32,199	132	79	35,474	18,099	HoneydewUltra	/bil/lz/boonee/6b90ecebc2289f34						HoneydewUltra				46
20250622M206BICANRen37	UCI.4723.CX16.GP	GP	v2	1000 D2P2238	6.9	REN037	M206	6/11/2025	30,423	41	31	16,841	8,592	HoneydewUltra	/bil/lz/boonee/6b90ecebc2289f34						HoneydewUltra				46
